,crs,lat,lon,name,tiploc,toc
0,ZAJ,0.0,0.0,Aldershot North Junction,ALDRSJN,SW
1,ZLR,0.0,0.0,London Road Depot,LRDDEAC,SW
2,BKI,0.0,0.0,Birkenhead 12 Quays,BRKNIOM,ME
3,ZLB,0.0,0.0,Lillie Bridge Depot LUL,LILBDGE,LU
4,OXP,0.0,0.0,Oxford Parkway,OXFPWAY,CH
5,ZGP,0.0,0.0,Gravesend Town Pier,GRVSFRY,SE
6,ZMJ,0.0,0.0,Mansfield Junction,NTNGMJN,EM
7,ZPB,0.0,0.0,Pirbright Junction,PRBRITJ,SW
8,ZBM,0.0,0.0,Borough Market Junction,BORMRKJ,SE
9,ZSL,0.0,0.0,Shettleston Loop,SHTLTNL,SR
10,ILN,0.0,0.0,Ilkeston,ILKES,NT
11,XJV,0.0,0.0,Bicester South Junction,BCSTSJ,CH
12,ZCR,0.0,0.0,Carlisle London Road Junction,CARLLRJ,VT
13,WPK,0.0,0.0,Wimbledon Park,WDNPK,LU
14,ZNJ,52.2427,-0.907905,Northampton North Junction,NMPTNNJ,LM
15,ZPS,51.5314,0.01722,Plaistow L.T.,PLASTOW,LU
16,MSC,43.3032794,5.380142,Marseille St Charles,MRSLSTC,ES
17,XCS,0.0,0.0,Carnforth D&U.G.L.,CRNFUGL,WR
18,ZAE,51.51504,-0.07236,Aldgate East,ALDGEST,LU
19,ZEP,51.4592,-0.21098,East Putney,EPUTNEY,LU
20,GBG,55.8404,-3.0468,Gorebridge,GOREBRG,SR
21,ZHR,51.5527,-0.11322,Holloway Road,HLWYRLT,LU
22,ZPN,51.5166744,-0.1769328,Paddington (Bakerloo Line),PADTLUL,LU
23,FKE,0.0,0.0,Folkestone East,FLKSTNE,SE
24,NMC,53.36484014431577,-2.005671137351082,New Mills Central,NWMILSC,NT
25,HBB,52.9753511176829,-0.1105287604554698,Hubberts Bridge,HBRTBDG,EM
26,ADC,53.31955235777388,-2.133562473910576,Adlington (Cheshire),ADLC,NT
27,WHI,51.357580617532406,1.0332947132577845,Whitstable,WHSTBLE,SE
28,FEG,54.9575,-1.4856,Fellgate (T & W Metro),FELL,TW
29,HRH,51.066063124425554,-0.3192694871777138,Horsham,HORSHAM,SN
30,LNW,52.10470909770377,-3.632163294272856,Llanwrtyd,LLWRTYW,AW
31,RYP,50.73918327908035,-1.1601266594011788,Ryde Pier Head,RYDP,IL
32,PRU,54.965826626951085,-1.8648655591006895,Prudhoe,PRUDHOE,NT
33,TLH,51.47150697354234,-1.0298158886948712,Tilehurst,TILHRST,GW
34,SBM,51.488133701347216,-0.05467773259566379,South Bermondsey,SBRMNDS,SN
35,TAM,52.6374725972589,-1.686464391730138,Tamworth,TMWTHLL,LM
36,CFD,53.72407559898754,-1.35465262548041,Castleford,CASTLFD,NT
37,NMN,53.35962657210294,-2.008525264295832,New Mills Newtown,NWMILSN,NT
38,HFS,53.58871368782976,-1.0233772748744818,Hatfield & Stainforth,HTFLASF,NT
39,WFN,51.675702219771104,-0.3899257937696956,Watford North,WATFDN,LM
40,GWN,51.64872358562804,-4.035934479114915,Gowerton,GOWERTN,AW
41,WMW,51.58150104719928,-0.023845887175490868,Walthamstow Queens Road,WLTHQRD,LO
42,INP,55.90610312153251,-4.872586072772624,Inverkip,INVERKP,SR
43,WRW,52.28653801648657,-1.5818545007447564,Warwick,WARWICK,CH
44,WHG,53.55566819673773,-2.5237266450406066,Westhoughton,WSTHOTN,NT
45,WIM,51.42127371866525,-0.2063686576928071,Wimbledon,WDON,SW
46,CLM,53.14408448104717,-0.7503938976960878,Collingham,CLHM,EM
47,DRF,54.001526466394274,-0.4346649942825077,Driffield,DRIFILD,NT
48,NWT,52.51231212088594,-3.3113916901658813,Newtown (Powys),NWTP,AW
49,SOE,51.53897060609761,0.7318147145803867,Southend East,STHNDE,CC
50,PNF,53.14308738666073,-3.054838192002942,Penyffordd,PNYF,AW
51,WYE,51.18500966830934,0.9293036963612706,Wye,WYEE,SE
52,BAR,54.07453979181289,-2.8353303932432916,Bare Lane,BARELA,NT
53,YRM,54.49389738980757,-1.3515450592250695,Yarm,YAAM,TP
54,NTH,51.662359111281624,-3.8072189039303455,Neath,NEATH,AW
55,CYA,0.0,0.0,Colonsay (Bus),COLONSY,ZB
56,ERH,51.48166900692033,0.1750544564860437,Erith,ERITH,SE
57,CFO,51.668106648720055,-0.5605263752238989,Chalfont & Latimer,CHLFNAL,LT
58,FGW,52.004112006959396,-4.994837652484635,Fishguard & Goodwick,FGDHGWK,AW
59,BAY,51.757714574061566,-0.09561001507817089,Bayford,BAYFORD,GN
60,BER,52.24440874629407,-1.7502552967947613,Bearley,BEARLEY,LM
61,SIT,51.341974727054094,0.7346843484403418,Sittingbourne,STNGBRN,SE
62,WHL,51.60503519953401,-0.07091361472615568,White Hart Lane,WHHRTLA,LO
63,DRN,57.319975113020284,-5.691316014473059,Duirinish,DUIRNSH,SR
64,SWK,50.832514368407196,-0.23596186561705684,Southwick,STHWICK,SN
65,MTM,51.17067570362856,1.3482170568820318,Martin Mill,MMIL,SE
66,NWR,57.05914491324135,-4.119108814773747,Newtonmore,NWTM,SR
67,ADW,55.84340784253798,-3.606526376773403,Addiewell,ADIEWEL,SR
68,ALV,52.34606891998832,-1.9676605017322362,Alvechurch,ALVCHRC,LM
69,SQE,51.49319447779276,-0.04751865829118127,Surrey Quays,SURREYQ,LO
70,HIG,51.21815502922789,-2.9721533908124327,Highbridge & Burnham,HGHBRDG,GW
71,RMC,53.432251559820834,-1.3604345607919237,Rotherham Central,ROTHCEN,NT
72,NTN,55.81877671657123,-4.133054709382332,Newton,NWTL,SR
73,SGQ,0.0,0.0,Stone Granville Square (Bus),STONEGS,ZB
74,CBN,50.210433925906514,-5.2974106706722655,Camborne,CBORNE,GW
75,RIA,51.38706459783867,-3.3493838353136653,Rhoose Cardiff Intl Airport,RHOOSE,AW
76,BXW,51.25401001426,-0.32848994172738305,Boxhill & Westhumble,BOXHAWH,SN
77,TNN,53.61606124384618,-0.9723307794610068,Thorne North,THORNEN,NT
78,FTN,50.796337106104,-1.0739827022988337,Fratton,FRATTON,SW
79,RUA,52.98713313505407,-3.043138542341498,Ruabon,RUABON,AW
80,XEA,0.0,0.0,Glastonbury (Bus),GLSTHAL,ZB
81,LAY,53.83526625989941,-3.0299904258660084,Layton,LAYTON,NT
82,LLV,51.995310636863586,-3.80282879308186,Llandovery,LLDVERY,AW
83,MAS,54.972763518136226,-1.6047409573451414,Manors,MANORS,NT
84,CLG,51.36121218077412,-0.34824778329177025,Claygate,CLYGATE,SW
85,CTT,52.537419667934124,-2.8036943079431875,Church Stretton,CSTR,AW
86,GGV,53.97841477355686,-2.1051703793356187,Gargrave,GRGRAVE,NT
87,XWU,0.0,0.0,Warwick University (Bus),WARWUNI,ZB
88,DEB,0.0,0.0,Dereham Market Place (Bus),PBRODMP,ZB
89,TNS,53.603328010572355,-0.9551092058270974,Thorne South,THORNES,NT
90,CRE,53.08962322780806,-2.432968823121986,Crewe,CREWE,VT
91,WXC,53.046186432888,-2.999052511549906,Wrexham Central,WREXHMC,AW
92,CAD,51.41227778525325,-3.2488953225675563,Cadoxton,CADOXTN,AW
